item_id,app_name,_Action,_Adventure,_Casual,_Education,_Horror,_Indie,_Open World,_Puzzle,_RPG,_Racing,_Shooter,_Simulation,_Sports,_Strategy
10,Counter-Strike,45,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Team Fortress Classic,15,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Day of Defeat,4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Deathmatch Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Half-Life: Opposing Force,3,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Ricochet,8,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Half-Life,53,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Counter-Strike: Condition Zero,11,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Half-Life: Blue Shift,5,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Half-Life 2,193,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Counter-Strike: Source,207,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Half-Life: Source,7,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Day of Defeat: Source,28,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Half-Life 2: Deathmatch,11,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Half-Life 2: Lost Coast,12,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Half-Life Deathmatch: Source,2,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Half-Life 2: Episode One,14,0,0,0,0,0,0,0,0,0,0,0,0,0
400,Portal,91,0,0,0,0,0,0,0,0,0,0,0,0,0
420,Half-Life 2: Episode Two,17,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Left 4 Dead,29,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Left 4 Dead 2,652,0,0,0,0,0,0,0,0,0,0,0,0,0
620,Portal 2,323,0,0,0,0,0,0,0,0,0,0,0,0,0
730,Counter-Strike: Global Offensive,3374,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,Red Orchestra: Ostfront 41-45,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,Killing Floor,262,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,Darkest Hour: Europe '44-'45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,Uplink,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1520,DEFCON,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1670,Iron Warriors: T - 72 Tank Command,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1900,Earth 2160,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1930,Two Worlds Epic Edition,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2100,Dark Messiah of Might & Magic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,Quake III Arena,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,Wolfenstein 3D,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,Ultimate Doom,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,DOOM II,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,QUAKE,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,The Ship: Murder Party,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,The Ship: Single Player,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,Bloody Good Time,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,Shadowgrounds,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2570,Vigil: Blood Bitterness™,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2590,Alpha Prime,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2600,Vampire: The Masquerade - Bloodlines,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2610,GUN™,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2620,Call of Duty®,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,Call of Duty® 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2640,Call of Duty: United Offensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,RollerCoaster Tycoon® 3: Platinum,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2820,X3: Terran Conflict,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2870,X Rebirth,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2990,FlatOut 2™,0,0,0,0,0,0,0,0,0,6,0,0,0,0
3050,Xpand Rally Xtreme,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3260,Safecracker: The Ultimate Puzzle Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3320,Insaniquarium Deluxe,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3390,Feeding Frenzy 2 Deluxe,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3480,Peggle Deluxe,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3483,Peggle Extreme,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3590,Plants vs. Zombies GOTY Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3620,Zuma's Revenge!,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,Sniper Elite,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3710,Judge Dredd: Dredd vs. Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3730,Aliens versus Predator Classic 2000,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3800,Advent Rising,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3830,Psychonauts,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3900,Sid Meier's Civilization® IV,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3910,Sid Meier's Civilization® III Complete,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3920,Sid Meier's Pirates!,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4000,Garry's Mod,0,0,0,0,0,1533,0,0,0,0,0,0,0,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,8,0,0,0,0,0,0,0,0,0,0,0,0,0
4560,Company of Heroes - Legacy Edition,17,0,0,0,0,0,0,0,0,0,0,0,0,0
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",0,0,0,0,0,0,0,0,0,0,0,0,0,11
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",0,0,0,0,0,0,0,0,0,0,0,0,0,11
4700,Medieval II: Total War™,0,0,0,0,0,0,0,0,0,0,0,0,0,20
4720,Condemned: Criminal Origins,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,Rome: Total War™ - Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,16
4850,Cossacks: Back to War,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4920,Natural Selection 2,48,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,STAR WARS™ Republic Commando™,11,0,0,0,0,0,0,0,0,0,0,0,0,0
6020,STAR WARS™ Jedi Knight - Jedi Academy™,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,"Star Wars: Battlefront 2 (Classic, 2005)",84,0,0,0,0,0,0,0,0,0,0,0,0,0
6120,Shank,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6220,FlatOut,0,0,0,0,0,0,0,0,0,3,0,0,0,0
6310,The Longest Journey,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6370,Bloodline Champions,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6550,Devil May Cry® 3 Special Edition,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6800,Commandos: Behind Enemy Lines,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6830,Commandos 2: Men of Courage,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6850,Hitman 2: Silent Assassin,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6860,Hitman: Blood Money,14,0,0,0,0,0,0,0,0,0,0,0,0,0
6870,Battlestations: Midway,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6880,Just Cause,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6900,Hitman: Codename 47,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6910,Deus Ex: Game of the Year Edition,15,0,0,0,0,0,0,0,0,0,0,0,0,0
6980,Thief: Deadly Shadows,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,Tomb Raider: Legend,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7020,Rogue Trooper,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,Trackmania United Forever Star Edition,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7510,X-Blades,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7520,Two Worlds II HD,0,0,0,0,0,0,0,0,4,0,0,0,0,0
7660,X-COM: Apocalypse,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7670,BioShock™,63,0,0,0,0,0,0,0,0,0,0,0,0,0
7730,X-COM: Interceptor,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7760,X-COM: UFO Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7770,X-COM: Enforcer,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7830,Men of War™,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7840,Death Track®: Resurrection,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7860,NecroVision,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7940,Call of Duty® 4: Modern Warfare®,15,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,Tomb Raider: Anniversary,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,Kane and Lynch: Dead Men™,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8170,Battlestations Pacific,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8190,Just Cause 2,159,0,0,0,0,0,0,0,0,0,0,0,0,0
8310,Bone: Out From Boneville,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8340,Strong Bad's Cool Game for Attractive People: Season 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8400,Geometry Wars: Retro Evolved,0,0,4,0,0,0,0,0,0,0,0,0,0,0
8500,EVE Online,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8600,RACE 07,0,0,0,0,0,0,0,0,0,5,0,0,0,0
8800,Civilization IV: Beyond the Sword,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8850,BioShock® 2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
8870,BioShock Infinite,228,0,0,0,0,0,0,0,0,0,0,0,0,0
8930,Sid Meier's Civilization® V,0,0,0,0,0,0,0,0,0,0,0,0,0,290
8970,Axel & Pixel,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8980,Borderlands,35,0,0,0,0,0,0,0,0,0,0,0,0,0
9050,DOOM 3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9070,DOOM 3 Resurrection of Evil,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9160,Master Levels for Doom II,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9180,Commander Keen,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,RAGE,12,0,0,0,0,0,0,0,0,0,0,0,0,0
9350,Supreme Commander,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9420,Supreme Commander: Forged Alliance,0,0,0,0,0,0,0,0,0,0,0,0,0,11
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",0,0,0,0,0,0,0,0,0,0,0,0,0,9
9480,Saints Row 2,34,0,0,0,0,0,0,0,0,0,0,0,0,0
9500,Gish,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9730,Tycoon City: New York,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9880,Champions Online,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9900,Star Trek Online,0,0,0,0,0,0,0,0,22,0,0,0,0,0
9930,Test Drive Unlimited 2,0,0,0,0,0,0,0,0,0,7,0,0,0,0
9940,Blade Kitten,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10090,Call of Duty: World at War,44,0,0,0,0,0,0,0,0,0,0,0,0,0
10130,TimeShift™,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10140,3D Ultra™ Minigolf Adventures,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10150,Prototype™,9,0,0,0,0,0,0,0,0,0,0,0,0,0
10180,Call of Duty®: Modern Warfare® 2,83,0,0,0,0,0,0,0,0,0,0,0,0,0
10220,Postal III,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10500,Empire: Total War™,0,0,0,0,0,0,0,0,0,0,0,0,0,32
10680,Aliens vs. Predator™,22,0,0,0,0,0,0,0,0,0,0,0,0,0
11020,TrackMania Nations Forever,0,0,0,0,0,0,0,0,0,11,0,0,0,0
11130,Sherlock Holmes: The Mystery of the Mummy,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11140,Sherlock Holmes: The Awakened - Remastered Edition,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11230,Gumboy Tournament,0,0,3,0,0,0,0,0,0,0,0,0,0,0
11240,Space Trader: Merchant Marine,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,Pacific Storm Allies,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11280,Penguins Arena: Sedna's World,5,0,0,0,0,0,0,0,0,0,0,0,0,0
11330,Obulis,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11340,Larva Mortus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11360,Chains,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11390,Crash Time 2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
11450,Overlord™,0,0,0,0,0,0,0,0,6,0,0,0,0,0
11590,Hospital Tycoon,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11610,Dragon Nest,19,0,0,0,0,0,0,0,0,0,0,0,0,0
12100,Grand Theft Auto III,7,0,0,0,0,0,0,0,0,0,0,0,0,0
12110,Grand Theft Auto: Vice City,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12120,Grand Theft Auto: San Andreas,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12130,Manhunt,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12140,Max Payne,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12150,Max Payne 2: The Fall of Max Payne,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12160,Midnight Club 2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12200,Bully: Scholarship Edition,25,0,0,0,0,0,0,0,0,0,0,0,0,0
12220,Grand Theft Auto: Episodes from Liberty City,9,0,0,0,0,0,0,0,0,0,0,0,0,0
12330,Darkstar One,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12360,FlatOut: Ultimate Carnage,0,0,0,0,0,0,0,0,0,3,0,0,0,0
12430,SlamIt Pinball Big Score,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12480,9th Company: Roots Of Terror,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12500,PuzzleQuest: Challenge of the Warlords,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12590,Sprint Cars Road to Knoxville,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12810,Overlord II,0,0,0,0,0,0,0,0,2,0,0,0,0,0
12830,Operation Flashpoint: Dragon Rising,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12900,AudioSurf,0,0,0,0,0,35,0,0,0,0,0,0,0,0
13210,Unreal Tournament 3 Black,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13230,Unreal Tournament 2004: Editor's Choice Edition,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13250,Unreal Gold,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13500,Prince of Persia: Warrior Within™,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13520,Far Cry®,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13540,Tom Clancy's Rainbow Six® Vegas,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13560,Tom Clancy's Splinter Cell®,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13570,Tom Clancy's Splinter Cell Chaos Theory®,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13600,Prince of Persia®: The Sands of Time,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,Tom Clancy's Rainbow Six Lockdown™,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15100,Assassin's Creed™: Director's Cut Edition,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15120,Tom Clancy's Rainbow Six® Vegas 2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15130,Beyond Good and Evil™,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15170,Heroes of Might & Magic V,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15200,Silent Hunter®: Wolves of the Pacific,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15300,Tom Clancy's Ghost Recon®,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15320,IL-2 Sturmovik: 1946,0,0,0,0,0,0,0,0,0,0,0,7,0,0
15390,Brothers in Arms: Hell's Highway™,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15520,AaAaAA!!! - A Reckless Disregard for Gravity,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15620,"Warhammer 40,000: Dawn of War II",0,0,0,0,0,0,0,0,0,0,0,0,0,12
15700,Oddworld: Abe's Oddysee®,0,16,0,0,0,0,0,0,0,0,0,0,0,0
15710,Oddworld: Abe's Exoddus®,0,5,0,0,0,0,0,0,0,0,0,0,0,0
15750,Oddworld: Stranger's Wrath HD,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16450,F.E.A.R. 2: Project Origin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16600,Trials 2: Second Edition,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16710,Insecticide Part 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16720,Velvet Assassin,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16810,Sid Meier's Civilization IV: Colonization,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17080,Tribes: Ascend,42,0,0,0,0,0,0,0,0,0,0,0,0,0
17100,Children of the Nile: Enhanced Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17300,Crysis,9,0,0,0,0,0,0,0,0,0,0,0,0,0
17330,Crysis Warhead®,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17390,SPORE™,0,0,0,0,0,0,0,0,0,0,0,33,0,0
17410,Mirror's Edge™,60,0,0,0,0,0,0,0,0,0,0,0,0,0
17430,Need for Speed Undercover,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17440,SPORE™ Creepy & Cute Parts Pack,0,0,0,0,0,0,0,0,0,0,0,2,0,0
17450,Dragon Age: Origins,0,0,0,0,0,0,0,0,4,0,0,0,0,0
17460,Mass Effect,12,0,0,0,0,0,0,0,0,0,0,0,0,0
17470,Dead Space,15,0,0,0,0,0,0,0,0,0,0,0,0,0
17480,Command & Conquer: Red Alert 3,0,0,0,0,0,0,0,0,0,0,0,0,0,12
17570,"Pirates, Vikings, and Knights II",10,0,0,0,0,0,0,0,0,0,0,0,0,0
17580,Dystopia,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17710,Nuclear Dawn,5,0,0,0,0,0,0,0,0,0,0,0,0,0
18000,"Precipice of Darkness, Episode One",0,1,0,0,0,0,0,0,0,0,0,0,0,0
18020,"Precipice of Darkness, Episode Two",0,2,0,0,0,0,0,0,0,0,0,0,0,0
18040,DeathSpank,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18120,Unstoppable Gorg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18500,Defense Grid: The Awakening,0,0,0,0,0,2,0,0,0,0,0,0,0,0
18700,And Yet It Moves,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18820,Zero Gear,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19000,Silent Hill Homecoming,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19500,Eternity's Child,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19830,Tom Clancy's Rainbow Six® 3 Gold,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19900,Far Cry® 2: Fortune's Edition,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20500,Red Faction Guerrilla Steam Edition,13,0,0,0,0,0,0,0,0,0,0,0,0,0
20510,S.T.A.L.K.E.R.: Clear Sky,8,0,0,0,0,0,0,0,0,0,0,0,0,0
20530,Red Faction,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20540,Company of Heroes: Tales of Valor,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",0,0,0,0,0,0,0,0,0,0,0,0,0,5
20900,The Witcher: Enhanced Edition Director's Cut,20,0,0,0,0,0,0,0,0,0,0,0,0,0
20920,The Witcher 2: Assassins of Kings Enhanced Edition,0,0,0,0,0,0,0,0,32,0,0,0,0,0
